"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"BORORENEW","BOROSIL RENEWABLES LIMITED","Credit Rating","BOROSIL RENEWABLES LIMITED has informed the Exchange about Credit Rating","30-Dec-2025 16:22:58","2025-12-30 16:22:58","30-Dec-2025 16:22:59","00:00:01","https://nsearchives.nseindia.com/corporate/BORORENEW11_30122025162248_LETTER.pdf"
"HLEGLAS","HLE Glascoat Limited","Trading Window","HLE Glascoat Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:22:22","2025-12-30 16:22:22","30-Dec-2025 16:22:23","00:00:01","https://nsearchives.nseindia.com/corporate/HLEGLASCOAT_30122025162212_BSENSEIntimationofTWC31122025_sd.pdf"
"JSWINFRA","JSW Infrastructure Limited","Disclosure of material issue","JSW Infrastructure Limited has informed regarding receipt of Order by Ennore Coal Terminal Private Limited (Subsidiary Company of JSW Infrastructure Limited) from GST Authorities","30-Dec-2025 16:21:00","2025-12-30 16:21:00","30-Dec-2025 16:21:02","00:00:02","https://nsearchives.nseindia.com/corporate/GAZAL786_30122025162035_SE_Intimation.pdf"
"EMSLIMITED","EMS Limited","Trading Window","Ems Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:20:26","2025-12-30 16:20:26","30-Dec-2025 16:20:27","00:00:01","https://nsearchives.nseindia.com/corporate/EMSLIMITED_30122025162014_TWC.pdf"
"PREMIER","Premier Limited","Trading Window","Premier Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:19:12","2025-12-30 16:19:12","30-Dec-2025 16:19:13","00:00:01","https://nsearchives.nseindia.com/corporate/PREMIER_30122025161847_PL_-_Closure_of_Trading_Window_Dec_2025_20251230.pdf"
"CHEMBONDCH","Chembond Chemicals Limited","Disclosure under SEBI Takeover Regulations","Chembond Chemicals Limited has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011","30-Dec-2025 16:18:54","2025-12-30 16:18:54","30-Dec-2025 16:18:55","00:00:01","https://nsearchives.nseindia.com/corporate/team_bbodade_30122025152914_CHEMBONDCH.pdf"
"MAZDA","Mazda Limited","Trading Window","Mazda Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:18:13","2025-12-30 16:18:13","30-Dec-2025 16:18:14","00:00:01","https://nsearchives.nseindia.com/corporate/MAZDA_30122025161747_Closing_of_Trading_Window_Dec_25.pdf"
"KSL","Kalyani Steels Limited","General Updates","Regulation 30 of SEBI LODR - Update   Acquisition of Equity Shares","30-Dec-2025 16:17:41","2025-12-30 16:17:41","30-Dec-2025 16:17:42","00:00:01","https://nsearchives.nseindia.com/corporate/KSL_30122025161716_Investment_in_Clean_Renewables-Subscription_Money-30-12-2025.pdf"
"HINDZINC","Hindustan Zinc Limited","Action(s) taken or orders passed","Hindustan Zinc Limited has informed the Exchange about Action(s) taken or orders passed","30-Dec-2025 16:17:40","2025-12-30 16:17:40","30-Dec-2025 16:17:41","00:00:01","https://nsearchives.nseindia.com/corporate/HINDZINCNSE_30122025161723_FinalSEIntimation.pdf"
"SANOFI","Sanofi India Limited","General Updates","Sanofi India Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","30-Dec-2025 16:17:34","2025-12-30 16:17:34","30-Dec-2025 16:17:35","00:00:01","https://nsearchives.nseindia.com/corporate/COSECSANOFI_30122025161718_BSENSEUPLOAD.pdf"
