Date,Open,High,Low,Close
12/25/2025 12:15,87448.1,87560,87430,87523.3
12/25/2025 12:10,87492.5,87555,87425,87431
12/25/2025 12:05,87545.5,87582,87472,87472
12/25/2025 12:00,87462.3,87585,87446,87553.7
12/25/2025 11:55,87479.4,87559,87446,87462.3
12/25/2025 11:50,87429.5,87568,87426,87479.4
12/25/2025 11:45,87455.3,87593,87422,87429.5
12/25/2025 11:40,87517,87552,87446,87508.6
12/25/2025 11:35,87479,87562,87454,87474.3
12/25/2025 11:30,87554.2,87613,87479,87562
12/25/2025 11:25,87424.3,87587,87412,87535.2
12/25/2025 11:20,87431.9,87524,87412,87424.3
12/25/2025 11:15,87468.2,87560,87431.9,87431.9
12/25/2025 11:10,87436.6,87517,87432,87432
12/25/2025 11:05,87467,87535,87425,87436.6
12/25/2025 11:00,87364.4,87567,87352,87453
12/25/2025 10:55,87401,87445,87318,87364.4
12/25/2025 10:50,87395,87412,87319,87327
12/25/2025 10:45,87342,87423,87235,87321
12/25/2025 10:40,87219,87341,87209,87258.7
12/25/2025 10:35,87431,87431,87209,87217
12/25/2025 10:30,87340.6,87443,87329,87430
12/25/2025 10:25,87370.8,87456,87340.6,87340.6
12/25/2025 10:20,87419.1,87465,87318.9,87439
12/25/2025 10:15,87358,87422,87303,87418.9
12/25/2025 10:10,87416,87469,87335,87381.6
12/25/2025 10:05,87416,87495,87388,87395
12/25/2025 10:00,87533,87540,87416,87498
12/25/2025 09:55,87503.6,87539,87455,87460.5
12/25/2025 09:50,87459.1,87561,87439,87459.1
12/25/2025 09:45,87416.8,87545,87416.8,87515.6
12/25/2025 09:40,87522,87541,87409,87416.8
12/25/2025 09:35,87439.6,87524,87387,87523
12/25/2025 09:30,87430.7,87528,87393,87444.4
12/25/2025 09:25,87476.6,87522,87416,87517
12/25/2025 09:20,87551,87554,87416,87458.2
12/25/2025 09:15,87425.7,87558,87399,87551
12/25/2025 09:10,87517.7,87536,87397,87498.3
12/25/2025 09:05,87524.7,87549,87456,87541
12/25/2025 09:00,87528.1,87626,87474,87506
12/25/2025 08:55,87489,87651,87483.5,87528.1
12/25/2025 08:50,87405.2,87575,87405.2,87546.2
12/25/2025 08:45,87486.8,87524,87399,87498
12/25/2025 08:40,87528,87538,87422,87484
12/25/2025 08:35,87417,87534,87383,87483.4
12/25/2025 08:30,87384,87513,87354,87417
12/25/2025 08:25,87332.8,87502,87326,87435.5
12/25/2025 08:20,87624.7,87684,87309,87357.5
12/25/2025 08:15,87790,87809,87565,87585.5
12/25/2025 08:10,87803.2,87876,87734,87742.5
12/25/2025 08:05,87786.3,87912,87769,87867
12/25/2025 08:00,87853,87875,87755,87762
12/25/2025 07:55,87734,87893,87734,87776
12/25/2025 07:50,87709.8,87854,87698,87747.3
12/25/2025 07:45,87774,87797,87709,87709.8
12/25/2025 07:40,87709.8,87796,87704,87773
12/25/2025 07:35,87722.1,87808,87704,87787
12/25/2025 07:30,87804.7,87824,87722.1,87779.1
12/25/2025 07:25,87730.7,87849,87730.7,87804.3
12/25/2025 07:20,87730.7,87831,87722,87739
12/25/2025 07:15,87730.7,87835,87730.7,87739
12/25/2025 07:10,87836,87845,87730.7,87808.2
12/25/2025 07:05,87786.3,87843,87725,87838
12/25/2025 07:00,87855,87868,87719,87726
12/25/2025 06:55,87759.1,87866,87759.1,87854
12/25/2025 06:50,87757.2,87854,87732,87854
12/25/2025 06:45,87704.2,87847,87704.2,87757.2
12/25/2025 06:40,87708,87801,87704.2,87797
12/25/2025 06:35,87791,87831,87686.1,87754.4
12/25/2025 06:30,87686.1,87796,87686.1,87791
12/25/2025 06:25,87748.6,87781,87676,87739.9
12/25/2025 06:20,87714.5,87790,87650.3,87739.1
12/25/2025 06:15,87650.3,87763,87650.3,87723.6
12/25/2025 06:10,87655.6,87733,87632,87650.3
12/25/2025 06:05,87670.4,87764,87630,87716
12/25/2025 06:00,87750.4,87787,87670.4,87714.2
12/25/2025 05:55,87711.3,87800,87690,87711.3
12/25/2025 05:50,87711.3,87806,87708,87708
12/25/2025 05:45,87741.1,87810,87679.6,87725
12/25/2025 05:40,87679.7,87785,87667,87781
12/25/2025 05:35,87732.2,87779,87662.6,87679.7
12/25/2025 05:30,87713.5,87802,87650,87691.3
12/25/2025 05:25,87622.3,87755,87616,87736
12/25/2025 05:20,87682.6,87757,87609,87622.3
12/25/2025 05:15,87650.5,87737,87600,87635.8
12/25/2025 05:10,87682,87720,87595,87616.7
12/25/2025 05:05,87672.4,87765,87610,87611.4
12/25/2025 05:00,87725,87807,87638,87672.4
12/25/2025 04:55,87766.9,87859,87727,87776.7
